,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,14069,11223.0,11223.0,6397.0,6397.0,6891.0,6891.0,13672.0,13672.0,12930.0,12930.0,10724.0,10724.0,11980.0,11980.0,12534.0,12534.0,11107.0,11107.0,12022.0,12022.0,9091.0,9091.0,12181.0,12181.0,10925.0,10925.0,9910.0,9910.0,11932.0,11932.0,9474.0,9474.0,12013.0,12013.0,9655.0,9655.0,11696.0,11696.0,10817.0,10817.0,8550.0,8550.0
unique,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,B3GALT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.04319536694508066,0.3127994898676742,0.17563110510084956,0.3279654075776229,0.04373485781392042,0.40972831601628296,0.0766778656193347,0.18776488895484095,0.16901298061692108,0.1763909762730272,0.14991831172902853,0.23533189982979622,0.06213671963652352,0.20380395901631593,0.11078278342635288,0.17387752549369515,0.15220862178526876,0.24361182578266932,0.10987217086862461,0.23275436955759554,0.12159085271440341,0.27112471327067117,0.10807543668130476,0.20959410245432245,0.1525806255798243,0.245084329048045,-0.14714762766162753,0.3160465643985601,0.06151981483766141,0.24853554822654675,0.04626219731789039,0.3770555739394144,0.16506621776498875,0.2330186684149688,0.16181205769895335,0.28066304908380507,0.05832560504713805,0.2686931941560568,0.16269378205178486,0.25730349822298126,-0.01172316851824063,0.3440681634788018
std,,1.3201024287966594,0.3275275198798926,1.2947413304577011,0.326106373630482,1.4309410657308228,0.33585530175289086,1.7475659708141518,0.28133852704616863,1.7232227389777457,0.27660133991922725,1.4764735532893252,0.30467326530894007,1.699811353851176,0.29247898055701377,1.704241502529056,0.2758701894979566,1.4281158757359549,0.30423744097561617,1.557462217225275,0.30491020683537506,1.4263046451574866,0.31072186220133247,1.563213025795189,0.29206125214296025,1.3493148956693268,0.30469827374412056,1.4371785315454646,0.3267941600354694,1.6611850391603367,0.3110529192617737,1.234390664850115,0.3360982446793043,1.4421505159643022,0.3028009236868025,1.206970497041639,0.3172029560551059,1.345645648129394,0.3159000144569678,1.3253548825925936,0.3071893879632296,1.4347369839067035,0.32941989532401245
min,,-9.56526514476577,2.45114464742351e-78,-8.48878880509026,1.10347604455731e-57,-8.87783913531583,3.90177860199511e-29,-11.1637434002972,4.23773669506121e-154,-12.3711166254408,1.02862379781091e-108,-8.68355079206938,1.42337605761451e-74,-11.477000205655,8.611849134345049e-128,-10.9809379584744,6.53726427101589e-86,-9.34550448872453,3.24270385277825e-66,-12.4823338230512,2.31350520212777e-97,-9.64305788021814,1.44809901237279e-42,-12.0827813114686,3.5426937726939e-109,-10.4814274891381,7.457707217503431e-93,-10.7270452897187,4.50360635821909e-58,-10.9717873237341,6.67539829241423e-123,-9.15622232146062,2.91083457077148e-58,-10.2419296086489,7.925322658756821e-120,-9.96318581582401,5.93925107618208e-87,-10.227892567107,1.83679987569948e-111,-9.39227934946488,5.44171961234898e-99,-10.1118174897069,1.32540476056766e-40
25%,,-0.550320191334805,0.0082948903887826,-0.496142712441456,0.023574622193429,-0.5809572481762485,0.07458484139537144,-0.719362594837048,8.651703847871022e-05,-0.7383915985551059,3.486173395859302e-05,-0.6327984518548813,0.001264122633934025,-0.7427484071495443,8.9417366822557e-05,-0.8065050805302525,2.074772125795675e-05,-0.5798302872876531,0.0022057944155498,-0.5767856976900478,0.000931902262304625,-0.6496015645254615,0.0055775356594657,-0.597619715192482,0.0002583287330194,-0.520746034220968,0.0025675285642934,-0.7193424077060042,0.009515752131530525,-0.5987387916062632,0.000500318249583325,-0.478940860935049,0.042065567135225704,-0.508719813537345,0.0011769694998227,-0.4477313922884335,0.0068792923057776,-0.48915697674875824,0.002419563807740325,-0.48142174751125,0.003954711457464,-0.6618173991145282,0.028672384735830524
50%,,0.014957209744008,0.185103987891072,0.0568619846978911,0.211608215545124,0.0929028705211958,0.361312748164843,0.0326800531520976,0.0211312399635604,0.0511882249163074,0.01288853859686935,0.03494367471709535,0.0648519244028319,-0.03625760406138995,0.0304195181707907,-0.01389348336793365,0.011050467074927201,0.077919234357166,0.0788852443851411,0.057144952230383295,0.0601900039430076,0.0063936541576861,0.123505382866601,0.0351613858124146,0.0371245942605111,0.0800963758202087,0.0805327086393868,-0.05237052252767855,0.190973823554128,0.0309536014891264,0.073095324298171,0.0225197982948734,0.296529288900944,0.0799774585643828,0.0659326942201786,0.0799031583249809,0.13333419045294,0.06108519631306775,0.111164814279071,0.0889606488768047,0.101679768795411,0.04201222185208475,0.239653340745744
75%,,0.6161303609672095,0.587137643415361,0.772235286364972,0.600052522763107,0.788454004269814,0.717884895586271,0.9682434278949887,0.28321308183573224,1.10389303838984,0.26225519611805675,0.9296322353661143,0.415680586254776,0.9197711013590025,0.33283488513506526,1.0706184018117475,0.24809838989986827,0.902292884963489,0.4393223433427475,0.846445167812398,0.406943197086423,0.8678829802891874,0.4966528100131815,0.865505046472847,0.352045588965753,0.838018629137364,0.436695003620444,0.5385900312168252,0.5887057524361415,0.7125399341437898,0.458784547487617,0.5755606450978432,0.690081407608404,0.860049768987395,0.409496955500026,0.7436486797001796,0.507302082792358,0.661155073817179,0.497750527980678,0.795745772449567,0.465002326389387,0.7742775373218149,0.621435454096992
