,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,14069,11223.0,11223.0,6397.0,6397.0,6891.0,6891.0,13672.0,13672.0,12930.0,12930.0,10724.0,10724.0,11980.0,11980.0,12534.0,12534.0,11107.0,11107.0,12022.0,12022.0,9091.0,9091.0,12181.0,12181.0,10925.0,10925.0,9910.0,9910.0,11932.0,11932.0,9474.0,9474.0,12013.0,12013.0,9655.0,9655.0,11696.0,11696.0,10817.0,10817.0,8550.0,8550.0
unique,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FAM189A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.07030418807047925,0.2379628279446115,0.10409452169010923,0.26828849448604036,-0.020039255099871915,0.36225128100179865,0.14037098855820843,0.16526389913722275,0.23774614315081574,0.16285006660535592,0.09745515173228185,0.20977937880922107,0.09532522823841388,0.1902977650277306,0.17458605616467648,0.16049264203965655,0.16993278553504337,0.23026524844773694,0.09848566810381883,0.21271730767899472,0.11894312061284291,0.271522934608041,0.08577138903671082,0.19806557478111725,0.16240202475113455,0.21290543583152963,-0.13167745998198097,0.23993093918070105,0.1202101772111267,0.19555579858199784,0.02139114876926408,0.30112241814499774,0.13873585740423147,0.19845388917110138,0.14809141934195016,0.23108555089920793,0.08771857698709125,0.22655617678648826,0.17782723959670396,0.21834105818046554,-0.04766813950275572,0.2944837421274941
std,,1.5816280351447862,0.3074386954159212,1.4017999215456387,0.3134201878765326,1.5463701894536463,0.3376305419110916,1.9198645879611869,0.2706781697471655,1.8076039554555776,0.27070646821029304,1.5729686545034642,0.2925654667533975,1.8137053275669623,0.2839195742541835,1.8254175784069777,0.26660200929348854,1.561166307020309,0.3007830331075133,1.7091784153421143,0.29511616751845643,1.5011198947469484,0.3119423536108745,1.7177434036797288,0.29079349010245675,1.5402097381595392,0.2918204265648035,1.8100584663677326,0.30661514933848355,1.98851476694045,0.2896980896671434,1.4405439688408352,0.32165544305678667,1.6386048478372248,0.28882928549758824,1.3303561035710387,0.30002501622666145,1.54081629697531,0.301941459759124,1.5121072096062962,0.2955457592278502,1.5339822398476053,0.3244068078823797
min,,-9.73599172997276,1.04146485255146e-96,-11.4564052792642,1.30806880391259e-95,-9.18185538307648,1.08405869784432e-51,-11.8071250671587,1.12846848543379e-109,-11.2942691312012,3.49943815665934e-103,-9.94131446341484,3.51736394700822e-98,-11.1481979928797,1.5020517537546e-186,-11.0111098064103,1.97606174797822e-105,-9.02595071574999,3.45651561959873e-71,-11.9457169103664,8.8655327366498e-127,-8.51307841412072,4.61913371985375e-59,-10.6317566122863,4.0083590374305e-136,-9.86240456422371,1.08292575490589e-117,-11.8890779701581,6.506992868789221e-97,-12.9375824000142,1.39527924313257e-165,-10.4166688003675,4.74957381752483e-64,-10.9616312354175,5.50051943650348e-120,-9.47183929983654,5.83048933276823e-109,-10.6835204098654,1.99562111408507e-147,-9.89722276668175,1.14612199457979e-121,-10.4513538564687,8.37581766394265e-51
25%,,-0.60548912183583,0.0002155465429133,-0.52921806896622,0.0036864469289055,-0.612989008785384,0.025848241296544998,-0.7331667474754082,8.097771515877175e-06,-0.6721951358819588,5.44728792900552e-06,-0.6563640716977405,0.0001998608623977,-0.7151651073766838,3.49172030526005e-05,-0.7551901223220915,4.529300695940043e-06,-0.568160353455972,0.000807208825489,-0.5718236509838728,0.00015662854605415,-0.6133945348615735,0.0052264666403902,-0.619213414807194,6.10644743484841e-05,-0.550843720752186,0.0003627577779869,-0.8602635751385035,0.0003187767901183,-0.7063903365495178,9.66020133293676e-06,-0.5454951902624691,0.0078881194027309,-0.577572164620723,9.60317394926921e-05,-0.4845138636389575,0.0008572678527024,-0.5197860946820245,0.00022145149720132498,-0.519465292898035,0.0004717308297648,-0.672347650485122,0.0067031081010082
50%,,0.0521469910986953,0.0604949056545284,0.0676178292126454,0.112269207075421,0.0720374060800735,0.269217022529655,0.09230523971182744,0.00865372941295005,0.129111895177774,0.007356799782069949,0.0318835161330478,0.0373128936099778,0.01497605595336015,0.0219546259400927,0.0713034157073891,0.00664909337486275,0.114451364146794,0.0589820954265658,0.0838184822929312,0.03728983194084045,0.0668653597265085,0.121580736545044,0.0684288300606965,0.0258140958905565,0.115637033491603,0.0439778094445981,-0.008103959700461402,0.06833593172732039,0.0461916458614053,0.0203271808021491,0.030671387672129048,0.17226342820717,0.0989253821059348,0.0267838990852411,0.092164610884152,0.0628435349188126,0.09000462063280885,0.05195404126539965,0.121841253904645,0.0465634775265144,0.06529198428450331,0.1484716801663425
75%,,0.726407703896119,0.430478639873063,0.756624657348665,0.498634515725363,0.716526111438258,0.665000176088391,1.063501082137185,0.22878764805747126,1.1660293797948575,0.21353596751336223,0.881981124709433,0.35522166428535873,0.946020341887737,0.29865505730764724,1.1280700474817973,0.211168246663627,0.9179037172131019,0.4046325429112475,0.8278847031885045,0.3602044758365518,0.8749121455930731,0.497868162109459,0.84024129973315,0.314977154180881,0.898499113490231,0.360039482514169,0.6977673075545847,0.4364828792078115,0.8773449324213463,0.3118427868389635,0.6300770909590745,0.5536854236548607,0.876656849167519,0.32335305871962,0.770649848871485,0.4106888062355465,0.7241578733229087,0.4047476696802085,0.876181954175849,0.37632866196616,0.7564918671552737,0.562092621631482
