,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,14069,11223.0,11223.0,6397.0,6397.0,6891.0,6891.0,13672.0,13672.0,12930.0,12930.0,10724.0,10724.0,11980.0,11980.0,12534.0,12534.0,11107.0,11107.0,12022.0,12022.0,9091.0,9091.0,12181.0,12181.0,10925.0,10925.0,9910.0,9910.0,11932.0,11932.0,9474.0,9474.0,12013.0,12013.0,9655.0,9655.0,11696.0,11696.0,10817.0,10817.0,8550.0,8550.0
unique,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CDH19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.23779931670024046,0.1661756923179757,0.39022220963964005,0.24374688509554165,0.25679882545317645,0.30646852827172427,0.30258765025311607,0.12886619053322068,0.42865850598717514,0.12247848947864773,0.3584540282024808,0.17200017149548674,0.31635962293593206,0.14518999784486855,0.333503524622817,0.1319006477080008,0.4133287545671401,0.19254473288863522,0.30182507683471416,0.1511234256415619,0.2841627346953244,0.21585702844190077,0.26123517028130194,0.14233514052571533,0.4016302351334554,0.16824636721697123,0.11993962364738751,0.18028072257441935,0.4390531799784285,0.1517564211906662,0.18127795319719886,0.22313085673586325,0.4569248534122071,0.15534567336169686,0.3523568056463978,0.18971726773638758,0.33051788614340494,0.16961136189032758,0.40247845296048856,0.18709351579574748,0.055986564065572814,0.17754108209014596
std,,1.950965102276249,0.27184531429630426,1.8762299551787718,0.30455842794083243,2.063355327441456,0.3232300947494495,2.254943785882693,0.2476766226282774,2.2412529825893333,0.24164745389985648,1.9232856213772678,0.2784643350156795,2.1162612882536624,0.25979808836617446,2.185472230149755,0.24913311735603239,1.9650305484557187,0.2849632045265981,2.072802169064537,0.26281839092773573,1.848926199007872,0.2932348209002864,2.126097858277803,0.2576792182392718,1.9275652725932304,0.27351640299785057,2.116549905699076,0.2807282298339867,2.5431911102926894,0.2619325688991936,1.9052855877016213,0.3012138144476478,2.0493860552340295,0.2648115386530757,1.6927999420614934,0.2826742711151733,1.9415602242748102,0.2758648475403814,1.9211498356623635,0.28294952182990224,2.181414259834599,0.27886324605254525
min,,-10.4398765941477,2.8131386567603e-123,-9.66352454672784,9.80959211655052e-73,-9.58630320591683,3.15852098147463e-38,-14.399662607398,3.59774984349722e-150,-12.7785434342788,7.398194177095859e-138,-11.8412000617399,4.75169557440024e-103,-12.317258501884,8.5315691611644e-209,-14.5727091645725,4.23216309589925e-115,-11.5382319353448,1.07441116669285e-61,-13.2994041043353,7.4739406387304e-137,-11.4162442759277,9.27470038423299e-57,-13.6017528835861,8.1969475056669e-161,-13.6514787761223,5.69115434458253e-165,-10.0653597894338,4.3893270738299e-91,-13.2901168742197,3.50648251799233e-190,-10.7330797795062,8.73160192445172e-65,-12.9915634982121,2.83610735933813e-132,-12.3169096064286,1.4795185423247e-143,-12.564528732503,4.1207913837274e-142,-13.0445032781831,3.65217843667255e-152,-10.8630271731053,5.00900127454694e-51
25%,,-0.8007978597945925,8.748874242531795e-07,-0.591437235065011,0.001640134196673,-0.6574399087554634,0.01133141263858795,-0.8849548524443043,1.2117908607312699e-08,-0.8248135036582845,1.9385377436919375e-09,-0.7194325865095612,3.910107189191558e-06,-0.8298378921452972,5.453971458555428e-08,-0.8696578573686969,1.3266580177744e-08,-0.653516739128063,8.58194110671656e-05,-0.7539381606480423,2.35605204635647e-07,-0.710150689313418,0.00037012479106035003,-0.807568385169177,5.03930377627493e-08,-0.638766798017776,4.13295473780869e-06,-0.9571149281702052,5.433351139464735e-06,-0.8367136367214565,5.9037198989827e-08,-0.744422935847239,0.00026357512497695,-0.622195501277983,8.2153307155159e-07,-0.5864211951048974,5.150721468290465e-05,-0.6536933526889217,1.7991092453911001e-06,-0.59780418205757,2.72965449692859e-05,-1.0157067525623424,4.6024595640041605e-06
50%,,0.095463603939619,0.00715583296251,0.216735188890854,0.0769152922686277,0.267221081571205,0.178972283932121,0.1636214172310975,0.0006746898008437,0.21141811349455147,0.00033813974986875,0.18609324370623448,0.009723714234755,0.1087579703271325,0.00208548535113175,0.1550354231957375,0.00078265816522325,0.23436447404934,0.0223063313181647,0.13043571758836048,0.003519806951367,0.174861517621048,0.0487264551332231,0.110071048612649,0.0018004537569618,0.210672955316436,0.0087456244749731,0.02762282980217285,0.012314942827344449,0.2046867342797315,0.0026435470224883,0.105069138944313,0.0422449313542115,0.232177618749637,0.0051958309467189,0.184017127852107,0.0214746453734983,0.14170039320997602,0.0081411922045505,0.200076312873238,0.0177424956255107,0.00372932828182895,0.01030752724635255
75%,,1.123199946909235,0.230555280697318,1.20489267594443,0.443497006614631,1.263884631839285,0.572517856715737,1.391615614475495,0.10849655202729674,1.5479130162570125,0.0980016966510563,1.2637426669427974,0.238460540438638,1.3163482046176325,0.158821282615542,1.4243232515212425,0.1222237224404285,1.3157787406174601,0.3053130166072115,1.20868507111366,0.17852779185907974,1.1882101894784252,0.367525012197512,1.21217061808822,0.153779790398914,1.25907871545715,0.229610364312082,1.087321337023395,0.280533566826145,1.40872658978213,0.18702874021276175,1.073361067981125,0.395952422411894,1.29829274188125,0.191072877839453,1.0966232801579099,0.30061090656216005,1.1101863335896525,0.23382243192643976,1.2063356600316,0.292112209432986,1.2117671550391025,0.2657499206926615
