,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,14069,11223.0,11223.0,6397.0,6397.0,6891.0,6891.0,13672.0,13672.0,12930.0,12930.0,10724.0,10724.0,11980.0,11980.0,12534.0,12534.0,11107.0,11107.0,12022.0,12022.0,9091.0,9091.0,12181.0,12181.0,10925.0,10925.0,9910.0,9910.0,11932.0,11932.0,9474.0,9474.0,12013.0,12013.0,9655.0,9655.0,11696.0,11696.0,10817.0,10817.0,8550.0,8550.0
unique,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,SPIN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.027108821125398586,0.29914163047058345,-0.07153658341074035,0.4000155194282123,-0.06377411291379233,0.41924517416710555,0.06369312293887372,0.2652280376101622,0.06873316253389467,0.25842341556519255,-0.0524631599967467,0.30420480523518406,0.03318850860189035,0.2406819244548505,0.06380327273832365,0.253331961388834,0.017724163749774608,0.3102071680303743,-0.011386502764805786,0.2641323408942071,-0.0026477321015604843,0.3512940624711522,-0.022304047644593955,0.232463174206108,0.00982139917131024,0.3024650207959123,0.015470167679646624,0.26886621428836793,0.058690362373465324,0.23383573045916864,-0.024871048548626325,0.3486547300547609,-0.026330360360757258,0.2689874059894199,-0.013720638357003163,0.32774361630834137,0.029392971939953178,0.29078326610120436,0.015133457544919113,0.3373384799112691,-0.03594497098451513,0.3959088385776639
std,,1.3299054569539777,0.32437853885100637,1.258287589802834,0.33983545390055087,1.3627222837140396,0.33758183710756523,1.6415285835180478,0.3205060094872505,1.6022588903363173,0.31390411682339847,1.3705360081940778,0.3241850889080589,1.4846559126611605,0.30814199297189415,1.5661102424455884,0.3125708776041672,1.431302909280466,0.33089752044848264,1.5394478442314872,0.31415056995566465,1.3461327370168776,0.3318369935848864,1.5724936083655372,0.3030616688446291,1.3730930617412964,0.32567470300745777,1.556545605185426,0.3174085690324718,1.8240129000840897,0.30907938755285996,1.286299504560393,0.334678645289808,1.4515640425724174,0.3166353394702367,1.1893827118177904,0.3283398382684685,1.3811264846101226,0.3220084041743407,1.3322460327538186,0.33338216176181595,1.2219761128272535,0.3333991033174827
min,,-9.71250420308612,1.72549561576375e-81,-9.33250933321812,2.43777251922852e-71,-10.212378485928,7.10534426238678e-41,-14.4314069179106,3.31711394414792e-146,-11.0484784059491,5.12486336875511e-121,-9.60060891050919,4.04868990408946e-68,-11.3322699323513,4.71324457891351e-156,-12.6413786307567,8.09908476956962e-138,-11.1250260657285,7.672945772706601e-75,-12.5787681291288,1.83109996675865e-108,-8.80558270396061,4.927329133993809e-49,-11.8599546793785,6.97884598812854e-146,-11.1362103273406,3.39971511181783e-95,-11.5251526977375,3.30311444770885e-84,-13.3508141888824,9.18945400020284e-164,-10.0411380210091,4.42281067053722e-58,-10.5103664752482,9.18503673265335e-118,-10.130348679198,1.35911005143245e-85,-11.1602700598175,1.91714194848269e-125,-11.4170111908725,2.39175809974822e-96,-8.9611886834635,1.54002027430262e-45
25%,,-0.55980922150469,0.00594104099127135,-0.556981054109753,0.0540185030954165,-0.6562656401351445,0.077736373349039,-0.600729917141029,0.0005079197029007,-0.5647982239111743,0.000739609305416,-0.6024557535324688,0.0062652115093586,-0.5716797661779704,0.0005018322761669251,-0.55812871069828,0.0004937562598161,-0.5715418323575645,0.00642850237586235,-0.6118528239667572,0.00118198543080495,-0.615959581481228,0.027595709643191,-0.649076237627925,0.0002428454205493,-0.559995243480323,0.0064487328826944,-0.6549410111938643,0.001735651847619375,-0.655962643546073,7.72071020734678e-05,-0.5412632691869023,0.020543001724548402,-0.598474930931784,0.0012271916692871,-0.5135877076986605,0.01314590573378065,-0.5031006814129699,0.0034839207642115,-0.498236975207198,0.0125752728615029,-0.6089527724454735,0.06765273621513054
50%,,0.000919749557706,0.154964780428517,-0.0269445014147665,0.349421074110378,-0.0284420145616084,0.393695888181399,-0.0038080812453224998,0.09135587557642895,0.03245585851962815,0.08900911677342735,-0.03921244095224575,0.1721019983432945,0.008504296825307449,0.06918236447065895,0.013699163096432699,0.0821524855153526,-0.0023204104507479,0.170025286646222,-0.01433629928601885,0.1035845112214625,-0.0183349728753154,0.258129511082007,-0.033897129394499,0.0584938624731785,0.0129876725472055,0.162035780663423,0.01767169742044275,0.105899124380382,0.0005835330571305,0.0497891507825032,0.0112413449158079,0.249946623907475,-0.0210152165543912,0.108814686059146,-0.0063394770708366,0.215655914458032,0.01121732962319755,0.149126965088899,0.0106971804638544,0.230098283551885,-0.0254781212944609,0.3422878147184415
75%,,0.5729412940745475,0.5637293496147799,0.476586434993627,0.717463272178236,0.5484451481070796,0.731131808445335,0.62172768767715,0.49688347413689926,0.6331263893267709,0.48406890719357276,0.49044718280746025,0.561733130830952,0.5712186154307413,0.43457572669150324,0.5954312493453465,0.46819287404306426,0.5707407829113476,0.59236436928707,0.5554479038893507,0.495695589853827,0.5585082538429765,0.6372714721164775,0.551100097990729,0.416755023682774,0.558579357794258,0.565766628774312,0.664810016876296,0.500766079889093,0.717644173284369,0.424549866422965,0.5191891241555235,0.644091327812761,0.537091145717975,0.502247625710243,0.4902756452993575,0.6157768132512895,0.5339188294806413,0.5405372853069632,0.526771954667683,0.628248477627899,0.5249322608204801,0.6994077615913245
