,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,14069,11223.0,11223.0,6397.0,6397.0,6891.0,6891.0,13672.0,13672.0,12930.0,12930.0,10724.0,10724.0,11980.0,11980.0,12534.0,12534.0,11107.0,11107.0,12022.0,12022.0,9091.0,9091.0,12181.0,12181.0,10925.0,10925.0,9910.0,9910.0,11932.0,11932.0,9474.0,9474.0,12013.0,12013.0,9655.0,9655.0,11696.0,11696.0,10817.0,10817.0,8550.0,8550.0
unique,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,NKAIN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.19460394975515985,0.17449697287395535,0.21459110453879057,0.30951704710963734,0.21306396763925603,0.36607743970842316,0.22590978463378136,0.15522868441838297,0.259645525370254,0.15422664698442975,0.20853571647345226,0.19766137731647082,0.2542229032994085,0.14630662313740092,0.2227207411964641,0.15117420102237794,0.26112013278187124,0.22370757070235778,0.19195290596608952,0.16835783711506533,0.16257188198092098,0.2595982227305388,0.15315973359999716,0.1527186167970632,0.2490496095536311,0.197396591238731,0.26708725130901506,0.1856379367167192,0.3775333651407672,0.17225861864583686,0.13501575587930842,0.24308564759198625,0.2918586356472184,0.17446069209145593,0.1905447479474445,0.2194497534941939,0.2721922810962669,0.17977758173922215,0.23978467090870376,0.22054632616493205,0.06770973258381341,0.22857265331103344
std,,1.839708537940096,0.27705091458749265,1.782169481732037,0.32462093939021036,1.8289817827195038,0.3345625795815561,2.114641169853137,0.2642960336135433,2.0981610573209437,0.26475159174083074,1.8769120990364043,0.2915566589618985,1.9295030220159106,0.2630513884038122,2.0555738708971885,0.2629736517257395,1.9191418986691922,0.3007493323739416,2.0274738157200063,0.27593921282745937,1.750641370503191,0.3134903519815567,2.052531885286001,0.264765367819259,1.9024434032755209,0.2865939753043422,1.927577940567048,0.28306077644117306,2.4175914326489836,0.2766044169417036,1.7628490523247833,0.30445048209373105,2.0167228440045757,0.2792274677090158,1.6671442695457437,0.2951816665502351,1.917257143742831,0.27932007601066977,1.8740199524176115,0.2977810160999556,1.715058673820662,0.2994845538695964
min,,-10.4398765941477,6.61091581891707e-85,-10.5381570481306,8.53828396062505e-53,-11.4806978960387,4.61681784794686e-28,-12.1958826102322,3.79285526633911e-153,-14.6916445250875,2.96809102552461e-151,-11.8412000617399,2.16366068590429e-102,-12.317258501884,2.66070885357809e-221,-14.5727091645725,2.45575177345073e-146,-12.3746241560656,1.48646386427117e-84,-13.2872134130986,2.27517207291597e-122,-11.4162442759277,4.83443025162451e-51,-13.6017528835861,4.54162512945515e-192,-13.6514787761223,2.9283630846265e-145,-10.0653597894338,3.68075620884705e-86,-11.7334096638744,9.06387200239968e-178,-10.7330797795062,2.11223012762711e-58,-12.9915634982121,7.4096059177421e-146,-12.3169096064286,1.28827647666033e-116,-13.9756860074239,5.88284728343227e-135,-13.0445032781831,2.65054085207159e-114,-9.88431262675887,4.19177014040004e-37
25%,,-0.815230143437111,6.12079969275895e-06,-0.661160175790666,0.0104399340746689,-0.6354622133863426,0.03508425883476285,-0.8591068613023425,7.1473333095699e-08,-0.8121250121463085,9.87297447300873e-08,-0.7636378674634925,2.3427086199898752e-05,-0.7725714115892179,3.4363560083227275e-08,-0.808862350387555,4.9642208603980525e-08,-0.7057194370412625,0.00024206119222425,-0.8370696855565609,4.778044343927067e-07,-0.7262642087822531,0.0019928750244517,-0.86693055037711,6.22594750375914e-08,-0.716319746990455,2.72922712799572e-05,-0.7650400042592616,1.7278001264262e-05,-0.7797198282024562,7.669684226412998e-07,-0.73843616774502,0.001057566243267625,-0.753035252713949,1.45983781334921e-06,-0.6782936584584375,0.0003291788570357,-0.7015275284347515,7.59458937180174e-06,-0.683972609174317,0.0002413385256627,-0.8584779805189737,0.0006580578181300499
50%,,0.0606390968591531,0.0104568449114834,0.120642124201141,0.181096598059101,0.176899788050372,0.288113856197671,0.04463328937624045,0.0034111494463321002,0.07878583683835494,0.003391078172055,0.05021754003086075,0.02044278261293975,0.07002481432957999,0.0021176463438194997,0.06525241368101689,0.0027842846811649,0.0976316233888376,0.0464020533813377,0.012093498834815149,0.005842351162702351,0.0602985708498004,0.0928015931167358,0.0062458192631749,0.0028775813598641,0.0967569212035731,0.0250128939443529,0.10449756240754851,0.01518789108645065,0.158008390385895,0.00754446599670055,0.0837808410023401,0.0775711618637548,0.0839897006732318,0.0078674530788624,0.0489946121009458,0.0495625086729346,0.07608671745613105,0.0138072566091668,0.0918916966481016,0.0497839635549864,-0.0061865736989208,0.05854493124010035
75%,,1.07950228040963,0.2578176179659955,0.960062940830241,0.571421846994135,1.041446291159445,0.668848622772289,1.08253428661608,0.20514932086468274,1.0869104486878576,0.18928838574192824,0.9477215961119313,0.317934696897854,1.0213885403328349,0.1521367256935775,1.0302087500717776,0.1804951765311755,0.9945413506509435,0.397925366662821,0.9888189579454918,0.22908521453926925,0.886300439779762,0.48252658274056903,0.949514459386391,0.183169706224058,0.977182701419661,0.325539414398597,1.0932839115218325,0.28437051636908,1.2711611988438452,0.251795206777594,0.9359301146816812,0.4369928535247795,1.03881315540314,0.255975162352882,0.864729700902094,0.372552865025256,0.961042515315468,0.2682689755505125,0.915292959646017,0.377532214514658,0.9438420720899513,0.40235295109651276
