,index,logFC_ASC,FDR_ASC,logFC_ChC,FDR_ChC,logFC_Endo,FDR_Endo,logFC_L2_3_IT,FDR_L2_3_IT,logFC_L4_5_IT,FDR_L4_5_IT,logFC_L5_6_NP,FDR_L5_6_NP,logFC_L5_ET,FDR_L5_ET,logFC_L5_IT,FDR_L5_IT,logFC_L6b,FDR_L6b,logFC_L6_CT,FDR_L6_CT,logFC_L6_IT_CAR3,FDR_L6_IT_CAR3,logFC_L6_IT,FDR_L6_IT,logFC_LAMP5,FDR_LAMP5,logFC_MGC,FDR_MGC,logFC_ODC,FDR_ODC,logFC_OPC,FDR_OPC,logFC_PVALB,FDR_PVALB,logFC_SNCG,FDR_SNCG,logFC_SST,FDR_SST,logFC_VIP,FDR_VIP,logFC_VLMC,FDR_VLMC
count,14069,11223.0,11223.0,6397.0,6397.0,6891.0,6891.0,13672.0,13672.0,12930.0,12930.0,10724.0,10724.0,11980.0,11980.0,12534.0,12534.0,11107.0,11107.0,12022.0,12022.0,9091.0,9091.0,12181.0,12181.0,10925.0,10925.0,9910.0,9910.0,11932.0,11932.0,9474.0,9474.0,12013.0,12013.0,9655.0,9655.0,11696.0,11696.0,10817.0,10817.0,8550.0,8550.0
unique,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,FAM20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,0.1674951286297613,0.14986164863188792,0.28612768794953086,0.2935987388600998,0.27683808055304837,0.3188062861868558,0.16221666169490764,0.15303466185629297,0.19091236283635935,0.1470060096184111,0.26099887647019904,0.17983293781905665,0.22103439469751812,0.14107828117008006,0.15891746845814048,0.14389233482797084,0.24339596903209668,0.2228809663199629,0.20333940873089532,0.15990400733183585,0.16521961408248148,0.26175119980800376,0.17546378124459117,0.14809840966542112,0.2392282103823209,0.19443649614904915,0.2516170836293684,0.17380403822782342,0.3188430027673018,0.16807887237687058,0.15988680442793476,0.2399001157235777,0.3181889960079758,0.16675165898453273,0.20426538630444765,0.21885614748347954,0.24279930915631362,0.17742022602491303,0.22465121336378455,0.22251463503062963,0.10365470356832848,0.19267113777263895
std,,1.886993588021248,0.26235993303212934,1.7704672026623889,0.3202538937966914,1.8326746270719612,0.32781680133743557,2.1289861346992973,0.26491713384083104,2.0775706643049747,0.26112828602842625,1.8541497665260054,0.27935302164660447,1.9283680567799337,0.259030976876924,2.076643903386323,0.256996023886819,1.889141755699991,0.30162336927412003,2.021730905214921,0.2705443395639001,1.7639706377663247,0.31393936957196944,2.0594061379750372,0.2634376151253571,1.926742257669178,0.2904808820206155,2.041767258840366,0.2783575764080159,2.4721454364234874,0.27516869212309936,1.7419322562503077,0.3047073926303403,2.0299073721365826,0.2746524435892935,1.6629263847363005,0.29756729168147844,1.92237784097049,0.27912069203931617,1.869543071434024,0.3000778244810267,1.692568571716776,0.28503882079077986
min,,-10.0692636066582,4.87567754932409e-130,-10.5381570481306,8.44393860188693e-93,-9.4675200918762,1.76427958889587e-50,-12.8135664155524,1.29759319957391e-186,-12.6431643617894,4.48716177049003e-212,-11.8412000617399,5.47924799209473e-151,-12.4174857993903,8.902310337258011e-264,-12.6140211545421,2.56289617676702e-190,-11.0390743934879,5.58931606007207e-96,-13.2872134130986,1.11769529740673e-156,-10.3185068906049,2.31131273394067e-57,-12.3551495046939,5.2015124272043e-192,-11.7487125017768,7.13033003184773e-149,-10.6318853299085,5.03894659248727e-134,-12.7561479224273,3.36594203727767e-208,-9.85472375038892,5.0157335290743e-73,-12.9915634982121,1.41625639391591e-188,-12.3169096064286,7.13130725870212e-152,-13.9756860074239,1.84488124885795e-177,-10.8692654942838,3.87321115680431e-126,-11.0959981173154,4.94563131065387e-71
25%,,-0.844503517156866,1.267471652374735e-07,-0.590664141400839,0.0050515268911646,-0.6587364979400265,0.01428646453337905,-0.8660714818117765,1.8498483526475274e-08,-0.8175352118378058,1.15603576476016e-08,-0.679580356016095,3.7144131341132076e-06,-0.7526190329859465,4.6111140933493776e-09,-0.8138894357221163,7.960194820690097e-09,-0.6800790955756979,0.0002664061175359,-0.79916663263855,1.3481901614872423e-07,-0.6746356968608624,0.0018355365510190499,-0.801364801866943,1.69819312191809e-08,-0.740442514689628,1.88785934280846e-05,-0.8131498051272915,2.5822151732369925e-06,-0.7955467748716409,2.853771610682927e-07,-0.707341860910729,0.000859947662919175,-0.694169569795381,4.27172952009391e-07,-0.6314571062766945,0.0001681790222523,-0.691593527776457,3.6511464549419725e-06,-0.667055198614937,0.0002253401947007,-0.8279517084263215,5.2484693807974445e-05
50%,,0.0504285086907816,0.0028165864907061,0.152801806249128,0.160423711214891,0.185067117508428,0.193477674473208,0.02659959756234435,0.0020053201099931002,0.04422207597196695,0.0018779982225597,0.08578404119345065,0.0109989680316793,0.050989564752279753,0.00091393253343255,0.0425390300551186,0.0016515631815205499,0.0973922298045568,0.0451620363804722,0.023083267276458902,0.0034395666198602497,0.0763896583529271,0.101030005022802,0.0268414711919522,0.0018999507583822,0.0574258410417855,0.0196939696111546,0.08566879428433036,0.00999740537126485,0.14047685219782,0.0066821232264998,0.0692105378277483,0.06915267952634865,0.0892193676368346,0.0053149405447987,0.079501921341001,0.0420526096665603,0.054456115139616346,0.01115574509664365,0.0788496009676201,0.0470782275615987,-0.0101081408501697,0.02140759444625595
75%,,1.06290634540612,0.17375246338134248,0.934342115852539,0.547617756171031,1.07482744967761,0.5972675732128809,1.0325343789707824,0.1928152265023215,1.0305644280273574,0.16470086131365952,0.9595602701695443,0.283679335520985,0.9869411997822205,0.150547824230492,0.9746206650341653,0.16371354290476,0.975467792469761,0.38992018784877,0.9795737334129557,0.20101146850588825,0.875368379615226,0.4780134799066305,0.961519724792603,0.16990384254843,0.966713414307071,0.306068853672714,1.08563673530251,0.248791816402575,1.19422823054398,0.2382479107415505,0.8857320566190362,0.4294421891756095,1.04466750652357,0.232369327526021,0.8358607836399625,0.393589807010695,0.9182420041148985,0.2643624632669495,0.882348611344815,0.392993112973416,0.928617334577532,0.308453925225811
