,hg38_coord_loop,loop_id,hg38_coord_bin1,hg38_coord_bin2,human_specific_sequence,mammal_level0,primate_level0,level1_macaque,level1_marmoset,level1_mouse,level1_mammal,level1_primate,ASC_level2_mammal,ASC_level2_primate,ChC_level2_mammal,ChC_level2_primate,Endo_level2_mammal,Endo_level2_primate,L2_3_IT_level2_mammal,L2_3_IT_level2_primate,L4_5_IT_level2_mammal,L4_5_IT_level2_primate,L5_6_NP_level2_mammal,L5_6_NP_level2_primate,L5_ET_level2_mammal,L5_ET_level2_primate,L5_IT_level2_mammal,L5_IT_level2_primate,L6_CT_level2_mammal,L6_CT_level2_primate,L6_IT_level2_mammal,L6_IT_level2_primate,L6_IT_CAR3_level2_mammal,L6_IT_CAR3_level2_primate,L6b_level2_mammal,L6b_level2_primate,LAMP5_level2_mammal,LAMP5_level2_primate,MGC_level2_mammal,MGC_level2_primate,ODC_level2_mammal,ODC_level2_primate,OPC_level2_mammal,OPC_level2_primate,PVALB_level2_mammal,PVALB_level2_primate,SNCG_level2_mammal,SNCG_level2_primate,SST_level2_mammal,SST_level2_primate,VIP_level2_mammal,VIP_level2_primate,level2_mammal,level2_primate,homer_annot_bin1,simple_annot_bin1,nearest_tss_dist_bin1,nearest_gene_name,homer_annot_bin2,simple_annot_bin2,nearest_tss_dist_bin2,nearest_gene_name_bin2
count,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049,515049.0,513950,515049,515049,515049.0,513836
unique,515049,515049,131101,130654,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30659,41649,,19193,30363,41521,,19218
top,chr10-10000000-10010000:chr10-10210000-10220000,union_1,chr11-96460000-96470000,chr3-178380000-178390000,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,Intergenic,Intergenic,,RBFOX1,Intergenic,Intergenic,,RBFOX1
freq,1,1,120,119,507939,325836,283056,288626,322872,454104,486748,420416,514878,514690,515049,515048,514998,514949,514566,513753,514533,513399,514987,514787,515049,515049,514646,513616,514847,514341,514618,513425,515049,514975,514996,514433,514918,514609,514975,514720,514661,513727,514905,514668,514751,514045,515046,515032,514796,514237,514900,514482,512465,505600,114000,237317,,748,113389,236496,,755
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17625.423765505806,,,,17296.847758174466,
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172576.37989319046,,,,167920.2920565987,
min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1587064.0,,,,-1597064.0,
25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24658.0,,,,-24224.0,
50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5535.0,,,,5053.0,
75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55275.0,,,,55126.0,
max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726015.0,,,,1726015.0,
