,human_union_peak_id,putative_target_gene,VIP,SNCG,LAMP5,SST,PVALB,ChC,L2_3_IT,L4_5_IT,L5_IT,L6_IT,L6_IT_CAR3,L5_ET,L5_6_NP,L6_CT,L6b,Endo,VLMC,MGC,OPC,ODC,ASC
count,229645,229645,92068.0,85032.0,96017.0,92256.0,95415.0,65930.0,109771.0,115998.0,111624.0,109168.0,100386.0,73112.0,71016.0,107665.0,98840.0,54262.0,64460.0,74876.0,85909.0,74954.0,86284.0
unique,102572,16657,,,,,,,,,,,,,,,,,,,,,
top,Endo_peak_16269b,CDH9,,,,,,,,,,,,,,,,,,,,,
freq,71,134,,,,,,,,,,,,,,,,,,,,,
mean,,,0.02549626087239866,0.02860089536880233,0.02496853031234052,0.02584322780090184,0.025088825090394593,0.03578017093887457,0.022267325268058046,0.022131202322453837,0.022228493012255428,0.022488404743148175,0.02399221700237085,0.03824131072874495,0.037079552326236345,0.022509546036316355,0.02469048775799271,0.040091301794994656,0.03459732302202917,0.028878725198995668,0.02674537547870421,0.028843804693545375,0.02562003738816003
std,,,0.04072585578976627,0.04349988149153634,0.03825974268041987,0.04035231975652763,0.037042543316879284,0.05481205503895446,0.03184984244809355,0.03040484023965375,0.030835182918616595,0.031440124103658706,0.03320648211627955,0.050292879958773934,0.04747743451780128,0.0322703197522263,0.035496233028168615,0.06498048686970428,0.06146901510323077,0.04568415953457321,0.042494671173226035,0.04525843111991244,0.04624577469221872
min,,,0.00013,9.1e-05,0.000175,4.3e-05,0.000113,0.000198,0.000108,9.1e-05,0.000101,9.5e-05,6.5e-05,0.000241,0.000166,9.5e-05,0.000136,0.000147,5.7e-05,4.2e-05,5.4e-05,3.8e-05,0.000107
25%,,,0.009171,0.010628,0.00946,0.00945775,0.009543,0.013315,0.008841,0.00924225,0.00911175,0.008994,0.00951225,0.01830075,0.01742975,0.009013,0.009628,0.013758,0.010279,0.008883,0.008816,0.009352,0.00711775
50%,,,0.0151965,0.017709,0.015601,0.015620499999999999,0.015663,0.022093500000000002,0.014635,0.014885,0.014952,0.014952,0.016407,0.0257065,0.024956,0.014884,0.016185,0.023228,0.0195045,0.0182035,0.015926,0.0181725,0.0139105
75%,,,0.0256025,0.0289545,0.025899,0.026074,0.0260105,0.0353015,0.0241175,0.024025,0.024376,0.024631,0.026653,0.0399655,0.039027,0.024392,0.02643625,0.037977,0.032743,0.03053325,0.027761,0.03069,0.025601
max,,,0.935197,0.944176,0.9185,0.943434,0.935055,0.994882,0.925413,0.922503,0.881671,0.922025,0.899947,0.949277,0.939741,0.90162,0.923871,0.960806,0.967704,0.972989,0.957192,0.95545,0.946539
