,macaque_union_peak_id,putative_target_gene,VIP,SNCG,LAMP5,SST,PVALB,ChC,L2_3_IT,L4_5_IT,L5_IT,L6_IT,L6_IT_CAR3,L5_ET,L5_6_NP,L6_CT,L6b,Endo,VLMC,MGC,OPC,ODC,ASC
count,269494,269494,104712.0,96509.0,111069.0,115007.0,109928.0,56899.0,129768.0,132183.0,128887.0,127146.0,100979.0,125515.0,101183.0,122739.0,121407.0,69297.0,77625.0,96385.0,95135.0,77377.0,101027.0
unique,113893,16710,,,,,,,,,,,,,,,,,,,,,
top,VLMC_peak_37784,CDH9,,,,,,,,,,,,,,,,,,,,,
freq,88,86,,,,,,,,,,,,,,,,,,,,,
mean,,,0.02394542633127053,0.026435442072760055,0.02330948345622991,0.0222540499187006,0.023464459846444942,0.04312505805022935,0.021235951236052028,0.020909594289734684,0.021478552375336534,0.02152563419218851,0.029619677893423388,0.02385870689559017,0.026545964776691734,0.022071437415980253,0.02208821307667597,0.03389273404332078,0.030238620019323672,0.024862117352285107,0.025475287517737956,0.02719129427349212,0.025254074851277383
std,,,0.02971998422931075,0.03197056982439928,0.028487762912726176,0.027803897382485707,0.02844108345832893,0.049791506366851444,0.022337055734958356,0.022926779921498157,0.02298407313030457,0.022410406683429657,0.030407255737689782,0.03111813116388089,0.030406535358817117,0.024083730190975025,0.024796047165034855,0.04622890961026339,0.044073538325356536,0.03315743912716122,0.03406834590004529,0.034039776472375764,0.03504811284155285
min,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,0.00927,0.010408,0.008882,0.008425,0.009156,0.0205775,0.009344,0.008994,0.00925,0.00941325,0.013225,0.0079345,0.010445,0.009428,0.008811,0.0116,0.009875,0.007644,0.008898,0.009509,0.008435
50%,,,0.016151,0.018216,0.01586,0.014921,0.015922,0.028047,0.015454,0.01501,0.01556,0.015796,0.022774,0.016344,0.019164,0.015949,0.015814,0.022251,0.019268,0.016565,0.016425,0.018934,0.016144
75%,,,0.02712275,0.030054,0.02706,0.0253525,0.026827,0.046567,0.02519025,0.024699,0.025562500000000002,0.02573475,0.035388,0.028262,0.0310495,0.026127499999999998,0.0265525,0.036829,0.032515,0.029263,0.0284475,0.031171,0.028279
max,,,0.869081,0.759684,0.762932,0.777967,0.790572,0.876948,0.762262,0.766054,0.782425,0.770624,0.947364,0.806853,0.802889,0.788002,0.803825,0.999545,0.999497,0.991378,0.967965,0.844732,0.990395
