,marmoset_union_peak_id,putative_target_gene,VIP,SNCG,LAMP5,SST,PVALB,ChC,L2_3_IT,L4_5_IT,L5_IT,L6_IT,L6_IT_CAR3,L5_ET,L5_6_NP,L6_CT,L6b,Endo,VLMC,MGC,OPC,ODC,ASC
count,219795,219795,92061.0,91306.0,90551.0,93986.0,97766.0,66868.0,105799.0,104269.0,103979.0,105174.0,82033.0,107340.0,92504.0,102601.0,98425.0,71391.0,83689.0,85441.0,85915.0,69809.0,96608.0
unique,91954,17543,,,,,,,,,,,,,,,,,,,,,
top,Endo_peak_11334a,CDH9,,,,,,,,,,,,,,,,,,,,,
freq,155,93,,,,,,,,,,,,,,,,,,,,,
mean,,,0.026308256688500016,0.028690637417037215,0.02748583599297633,0.025745368874087633,0.02483893870057075,0.037893887390081954,0.023367728995548162,0.023757455149660975,0.02343492957231749,0.02348804931827258,0.03133610172735363,0.02453094999068381,0.026362524215169072,0.023338448455668074,0.024904235031750065,0.033236978372624,0.02939424225405967,0.028084411078990183,0.02944297205377408,0.030305108882808802,0.026386250910897645
std,,,0.03729892365632773,0.039234984666425846,0.03572296158927994,0.034133387675348494,0.03271524158385691,0.058075010085659046,0.03010733533081165,0.027531668153298102,0.026929000094056577,0.026519591905257173,0.03813840146753761,0.03254547782868913,0.03236662734338816,0.026545328927786573,0.029923543497856968,0.05708993413581057,0.05372856933070704,0.03869222114464202,0.04180443932257817,0.042051129392255825,0.04183170449157985
min,,,0.000239,0.000172,0.000227,0.000289,0.000256,0.000288,0.000148,0.000148,0.000154,0.000175,0.000223,0.000163,0.000184,0.000196,0.000218,0.00015,6.5e-05,0.000124,7.1e-05,7.5e-05,8.8e-05
25%,,,0.00932,0.00997325,0.0103305,0.009831,0.00940125,0.01218275,0.0092295,0.010062,0.010016500000000001,0.01001025,0.012966,0.008837,0.010295,0.01012,0.010093,0.0088655,0.007449,0.008971,0.0098505,0.010334,0.00824775
50%,,,0.016078,0.018388500000000002,0.018096,0.016663,0.016024,0.022873499999999998,0.01517,0.01655,0.016362,0.016545,0.022006,0.015816,0.018142,0.016454,0.01693,0.018548,0.014932,0.019516,0.018436,0.020162,0.015006499999999999
75%,,,0.027712,0.030963249999999998,0.0301445,0.02790575,0.02705075,0.0381605,0.025299,0.026785,0.026361,0.0268695,0.034278,0.027,0.02940725,0.026379,0.027756,0.0322275,0.027932,0.031734,0.031304,0.03281,0.026856
max,,,0.8542,0.828344,0.814662,0.765764,0.803445,0.898272,0.774438,0.834983,0.650717,0.81219,0.755793,0.725979,0.643818,0.834993,0.63676,1.0,1.0,0.959122,0.829742,0.811383,0.829119
