,mouse_peak_union_id,putative_target_gene,VIP,SNCG,LAMP5,SST,PVALB,ChC,L2_3_IT,L4_5_IT,L5_IT,L6_IT,L6_IT_CAR3,L5_ET,L5_6_NP,L6_CT,L6b,Endo,VLMC,MGC,OPC,ODC,ASC
count,265056,265056,97942.0,98930.0,102825.0,100601.0,101540.0,42971.0,120035.0,116408.0,120466.0,119713.0,101347.0,124056.0,97441.0,115766.0,108168.0,42128.0,110547.0,77608.0,89715.0,79421.0,94649.0
unique,114995,15920,,,,,,,,,,,,,,,,,,,,,
top,Endo_peak_8448,Cntnap5b,,,,,,,,,,,,,,,,,,,,,
freq,67,82,,,,,,,,,,,,,,,,,,,,,
mean,,,0.02216663286434829,0.023066028494895377,0.021037033766107466,0.0218366451228119,0.021623094159936972,0.04641823313397408,0.02086043897196651,0.02103665307367191,0.02069807440273604,0.021262301997276824,0.027660161731477003,0.021275487392790355,0.02227292400529551,0.021115201043484272,0.022730098457954293,0.045689796501139385,0.020803569305363333,0.027079566655499435,0.025116973293206266,0.026275789262285795,0.02452932460987438
std,,,0.03217502193361348,0.030646229963005103,0.026898671315996693,0.028604481484487302,0.027781746193201277,0.07615912744953661,0.022211739821466635,0.023203005124175155,0.021926887612881765,0.022223662027703022,0.02879029680147767,0.022483615142898365,0.030149376690443406,0.02330429912561067,0.026024095607290316,0.054930107486657526,0.029399633043197697,0.03612239300604213,0.03317380766135927,0.036119238878385355,0.031705889644568316
min,,,3.7e-05,6.6e-05,7.6e-05,9.9e-05,8.2e-05,0.000113,8.2e-05,8.7e-05,0.00012,8.8e-05,9.9e-05,8.4e-05,5.3e-05,5.7e-05,7.6e-05,0.000227,6.1e-05,5.4e-05,8.2e-05,7.8e-05,7.9e-05
25%,,,0.007161,0.007511,0.007485,0.007667,0.007769,0.01129,0.008743,0.008562,0.008574,0.00898,0.010906,0.00823,0.007567,0.008664,0.008253749999999999,0.020784,0.006493,0.00810375,0.008692,0.007847,0.008066
50%,,,0.014098,0.0156465,0.014423,0.014754,0.014858,0.025576,0.015626,0.015343,0.015576,0.016073,0.021986,0.016266,0.014848,0.015539,0.016583,0.028970500000000003,0.013112,0.0199515,0.016551,0.017137,0.016387
75%,,,0.0252215,0.02738875,0.024954,0.02556,0.025555,0.048573000000000005,0.0254835,0.0255265,0.025482,0.026068,0.034236,0.02695125,0.026073,0.02570775,0.027897,0.04941075,0.0243745,0.03200225,0.0285175,0.02995,0.028624
max,,,0.880744,0.880665,0.802893,0.870631,0.836979,0.991581,0.670235,0.713046,0.723898,0.948316,0.881138,0.821207,0.941379,0.955632,0.663858,1.0,0.937204,0.985576,0.868378,0.847297,0.942446
