,Fig 4e,Unnamed: 1,Unnamed: 2,Fig 4h,Unnamed: 4,Unnamed: 5,Fig 5b,Unnamed: 7,Unnamed: 8,Fig 5d,Unnamed: 10,Unnamed: 11,ED Fig 7f,Unnamed: 13
count,27,27,0.0,27,27,0.0,7,7,0.0,5,5,0.0,9,9
unique,11,25,,11,25,,7,7,,5,5,,9,9
top,specific,sample size n,,specific,sample size n,,h3k27ac at distal cCREs,sample size n,,gene expression divergence index,sample size n,,anchor-to-anchor distances,sample size n
freq,3,3,,3,3,,1,1,,1,1,,1,1
mean,,,,,,,,,,,,,,
std,,,,,,,,,,,,,,
min,,,,,,,,,,,,,,
25%,,,,,,,,,,,,,,
50%,,,,,,,,,,,,,,
75%,,,,,,,,,,,,,,
max,,,,,,,,,,,,,,
