,hg38_coord,peak_id,human_specific_sequence,mammal_level0,primate_level0,level1_macaque,level1_marmoset,level1_mouse,level1_mammal,level1_primate,ASC_level2_mammal,ASC_level2_primate,ChC_level2_mammal,ChC_level2_primate,Endo_level2_mammal,Endo_level2_primate,L2_3_IT_level2_mammal,L2_3_IT_level2_primate,L4_5_IT_level2_mammal,L4_5_IT_level2_primate,L5_6_NP_level2_mammal,L5_6_NP_level2_primate,L5_ET_level2_mammal,L5_ET_level2_primate,L5_IT_level2_mammal,L5_IT_level2_primate,L6b_level2_mammal,L6b_level2_primate,L6_CT_level2_mammal,L6_CT_level2_primate,L6_IT_CAR3_level2_mammal,L6_IT_CAR3_level2_primate,L6_IT_level2_mammal,L6_IT_level2_primate,LAMP5_level2_mammal,LAMP5_level2_primate,MGC_level2_mammal,MGC_level2_primate,ODC_level2_mammal,ODC_level2_primate,OPC_level2_mammal,OPC_level2_primate,PVALB_level2_mammal,PVALB_level2_primate,SNCG_level2_mammal,SNCG_level2_primate,SST_level2_mammal,SST_level2_primate,VIP_level2_mammal,VIP_level2_primate,VLMC_level2_mammal,VLMC_level2_primate,mammal_level2,primate_level2,mammal_level3,primate_level3,homer_annot,nearest_tss_dist,nearest_gene_name,simple_annot,conservation_idx,divergence_idx,conservation_idx_primate,divergence_idx_primate
count,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412,384412.0,383501,384412,309243.0,309243.0,303372.0,303372.0
unique,384412,384412,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91987,,25724,54,,,,
top,chrX-154763146-154763645,VIP_peak_114413b,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,Intergenic,,RBFOX1,intron,,,,
freq,1,1,376880,206721,255660,192692,225968,280689,317631,323897,365291,360046,375737,372479,375252,371487,361267,350635,362168,352454,370851,368158,370430,367145,361927,352063,365835,358101,363278,354595,370392,365778,362301,352363,365488,359730,370049,365300,367206,362150,366154,359555,362796,355354,367627,363871,363586,357199,364776,358339,371370,369227,335278,305883,368344,351538,94593,,393,137890,,,,
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16451.04987097177,,,2.944888024882826,0.9979340558178957,3.404668898969288,0.8951148393320402
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144418.41124080325,,,2.511517535245943,0.5089425474295166,2.862828503359787,0.4843874910802461
min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3260070.0,,,-3.02535414621053,0.0032296687334694,-2.19374424928227,0.003505794
25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19889.25,,,1.586711,0.6311543059812594,1.8029114903579875,0.5550551401712019
50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5628.0,,,2.393042,0.8980637,2.78309176076229,0.782421763600067
75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47337.0,,,3.4664133574781353,1.2557174999999998,4.06835881337319,1.1151014701179176
max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3663465.0,,,31.19476,6.545219,38.94042,6.545219
