,human,GLS_t_value_human_v_macaque,adjusted_p_value_human_v_macaque,GLS_t_value_human_v_marmoset,adjusted_p_value_human_v_marmoset,GLS_t_value_human_v_mouse,adjusted_p_value_human_v_mouse,GLS_t_value_macaque_v_marmoset,adjusted_p_value_macaque_v_marmoset,GLS_t_value_macaque_v_mouse,adjusted_p_value_macaque_v_mouse,GLS_t_value_marmoset_v_mouse,adjusted_p_value_marmoset_v_mouse
count,309896,296383.0,296383.0,297247.0,297247.0,166901.0,166901.0,266000.0,266000.0,143450.0,143450.0,142310.0,142310.0
unique,309896,,,,,,,,,,,,
top,chr1-10001023-10001522,,,,,,,,,,,,
freq,1,,,,,,,,,,,,
mean,,3.631718346197199,0.3972516951701653,3.3058304108329035,0.47392763483472183,2.4839145876302866,0.6959846644346147,3.4990000180991765,0.4808953611607807,2.6557452198814904,0.6693382764675705,2.798877148560768,0.6375995150449871
std,,2.944870344661825,0.4268505915866957,2.8545133584735125,0.43548338322495456,2.576857033522548,0.40953958856426753,3.5155845886231507,0.44431039870527106,2.9035600090033915,0.4226380685146847,2.91232274140602,0.42928012095623114
min,,-3.258929858265198,4.211581800254917e-15,-3.478406559896321,9.704700686991153e-14,-3.2928419428109006,2.4004548053600528e-11,-3.2128927540171994,1.1775366724646286e-16,-3.535634190366535,1.487034884123537e-12,-3.1104132338080657,1.3311965026778737e-12
25%,,1.8936440095991647,0.0108871385609634,1.6586467260899065,0.02820107948622025,0.9685313224843352,0.2438510012190851,1.5444966306367194,0.017958774176281025,0.96864081654208,0.16709685715107825,1.099532324345361,0.11888610327109266
50%,,3.0644224824812816,0.1612103488325539,2.752763598011603,0.3232706730150361,1.926483589441316,1.0,2.7306627612827614,0.33642818153244947,1.966861354223696,1.0,2.1052089323224825,1.0
75%,,4.524650175949505,1.0,4.117139466160679,1.0,3.167884222624682,1.0,4.306559584578687,1.0,3.327675946639614,1.0,3.475138381228927,1.0
max,,45.62400957997583,1.0,38.94041950885956,1.0,28.50394798357772,1.0,54.31515795865967,1.0,32.57798741833366,1.0,32.74768934917119,1.0
