donor_id	sample_id / library_id	neun_enriched	Species	Age	Sex	single_nuclei_expression_and_atac_peaks_by_sample_lp	ATACfragments_lp	notes
H19.30.001	M1_donor1	no	Human	42 y	M	M1_donor1	M1_donor1_deep2	
H19.30.001	M1_donor1_neun	yes	Human	42 y	M	M1_donor1_neun	M1_donor1_neun_deep	
H19.30.002/UW7060	M1_donor2	no	Human	29 y	M	M1_donor2	M1_donor2_deep2	
H19.30.002/UW7060	M1_donor2_neun	yes	Human	29 y	M	M1_donor2_neun	M1_donor2_neun_deep	
H19.30.004	M1_donor3	no	Human	58 y	M	M1_donor3	M1_donor3_deep	
H19.30.004	M1_donor3_neun	yes	Human	58 y	M	M1_donor3_neun	M1_donor3_neun_deep	
H19.30.004	M1_donor3_rep2	no	Human	58 y	M	M1_donor3_rep2		
Q21.26.019/A17112	M1_Dheni	no	Macaque	6 y	M	M1_Dheni	M1_Dheni_deep2	
Q21.26.019/A17112	M1_Dheni_neun	yes	Macaque	6 y	M	M1_Dheni_neun	M1_Dheni_neun_deep	
70313	M1_Mac3	no	Macaque	14 y	M	M1_mac3	M1_mac3_deep	
NA	M1_R2	no	Macaque	6 y	M	M1_R2	M1_R2_deep2	age and gender filled to match the description in the methods
Meadow	M1_Meadow	no	Marmoset	6y6m	F	M1_Meadow	M1_meadow_deep	gender set to F to match the description in the Methods
Peregrine	M1_Peregrine_rep1	no	Marmoset	5y7m	M	M1_Peregrine_rep1	M1_peregrine_A_deep2	It's not 100% clear that rep1 corresponds to A
Peregrine	M1_Peregrine_rep2	no	Marmoset	5y7m	M	M1_Peregrine_rep2	M1_peregrine_B_deep2	It's not 100% clear that rep2 corresponds to B
Webster	M1_Webster	no	Marmoset	4y0m	M	M1_Webster	M1_webster_deep	
Mop_2C	Mop_2C_rep1	no	Mouse	P56	M	Mop_2C_rep1	2C_rep1_deep	
Mop_2C	Mop_2C_rep2	no	Mouse	P56	M	Mop_2C_rep2	2C_rep2_deep	
Mop_3C	Mop_3C_rep1	no	Mouse	P56	M	Mop_3C_rep1	3C_rep1_deep	
Mop_3C	Mop_3C_rep2	no	Mouse	P56	M	Mop_3C_rep2	3C_rep2_deep	
Mop_4B	Mop_4B_rep1	no	Mouse	P56	M	Mop_4B_rep1	4B_rep1_deep	
Mop_4B	Mop_4B_rep2	no	Mouse	P56	M	Mop_4B_rep2	4B_rep2_deep	
Mop_5D	Mop_5D_rep1	no	Mouse	P56	M	Mop_5D_rep1	5D_rep1_deep	
Mop_5D	Mop_5D_rep2	no	Mouse	P56	M	Mop_5D_rep2	5D_rep2_deep	
