,Donor ID,Age,Age group,Sex,Source,Brain bank id,Assays,Cause of death,PMI,Braak Stage,Race
count,48.0,48,48,48,48,48,48,46,48.0,18,47
unique,,31,4,2,1,48,5,23,,6,4
top,,89+,80-100,M,NIH  Neurobiobank,933,"10x multiome, snm3C-seq",Natural,,II,White
freq,,8,16,25,48,1,36,17,,7,29
mean,11276.291666666666,,,,,,,,10.103958333333333,,
std,33408.41454710802,,,,,,,,6.674582061848862,,
min,8.0,,,,,,,,1.75,,
25%,77.75,,,,,,,,3.8600000000000003,,
50%,1454.0,,,,,,,,9.675,,
75%,5715.75,,,,,,,,14.25,,
max,212191.0,,,,,,,,27.0,,
