,cCRE,Pearson_r,celltype,pval,fdr,Age_Correlated
count,214,214.0,214,214.0,214.0,214
unique,214,,1,,,2
top,chr14-61695199-61695698,,Microglia,,,Down
freq,1,,214,,,168
mean,,-0.4550495090549439,,0.00034211868286760603,0.26490388635733525,
std,,0.6535850396142073,,0.00023963125523526873,0.07701434413009853,
min,,-0.935614098991283,,1.03634687043067e-07,0.0100499737760014,
25%,,-0.8056281623598207,,0.000130431166655675,0.231731303930363,
50%,,-0.775296096346626,,0.00033365691657835,0.298210067542292,
75%,,-0.7538806877378428,,0.000535468939047175,0.317788870845275,
max,,0.886093976606922,,0.0008034035007845,0.36406567518027,
