,cCRE,Pearson_r,celltype,pval,fdr,log10fdr,Age_Correlated
count,685,685.0,685,685.0,685.0,685.0,685
unique,685,,1,,,,2
top,chr19-19385222-19385721,,Microglia,,,,Up
freq,1,,685,,,,513
mean,,0.37832788016117497,,0.001131678940303186,0.2885854196879569,0.5532448384069428,
std,,0.6486502671193213,,0.0007409553742093573,0.05776568586698641,0.1257695730559091,
min,,-0.85609703419799,,7.18057741596065e-07,0.0284950012884964,0.447169742645721,
25%,,-0.700244220961369,,0.0004939632764465,0.268895763661329,0.47891520938401,
50%,,0.725683084955688,,0.0010925518015597,0.305840749852639,0.514504650195463,
75%,,0.76281147210446,,0.0017682703762441,0.331959262158688,0.570416039848104,
max,,0.914405591717408,,0.0025226734738413,0.357133226460973,1.54523131905208,
