,gene,p_val,avg_log2FC,pct.Astro1,pct.Astro2,p_val_adj,marker_gene
count,791,791.0,791.0,791.0,791.0,791.0,791
unique,791,,,,,,2
top,DCLK1,,,,,,Astro1
freq,1,,,,,,586
mean,,2.238377436170989e-30,0.6252407249864855,0.25894563843236407,0.17400000000000002,4.898912856803834e-26,
std,,3.6621135352749204e-29,1.6952173206413839,0.21256691772106415,0.16617677030000844,8.014901683302701e-25,
min,,0.0,-6.23088458727227,0.004,0.007,0.0,
25%,,1.0184084978266914e-306,-1.032604497011165,0.115,0.062,2.228888838343493e-302,
50%,,1.06986621451461e-169,1.19453610817616,0.184,0.118,2.34150919708667e-165,
75%,,2.56830285424838e-93,1.61053798484726,0.3465,0.212,5.62098762680801e-89,
max,,7.1551208059009e-28,4.360231961671,0.996,0.975,1.56596973957947e-23,
