,3,chr,start,end,mammal_level0,primate_level0,human_specific,macaque_level1,marmoset_level1,mouse_level1,mammal_level1,primate_level1,mammal_Astro_level2,primate_Astro_level2,mammal_CLA_level2,primate_CLA_level2,mammal_L23_level2,primate_L23_level2,mammal_L4_level2,primate_L4_level2,mammal_L5-ET_level2,primate_L5-ET_level2,mammal_L5-IT_level2,primate_L5-IT_level2,mammal_L6-CT_level2,primate_L6-CT_level2,mammal_L6-IT_level2,primate_L6-IT_level2,mammal_L6b_level2,primate_L6b_level2,mammal_Lamp5_level2,primate_Lamp5_level2,mammal_MG_level2,primate_MG_level2,mammal_NP_level2,primate_NP_level2,mammal_ODC_level2,primate_ODC_level2,mammal_OPC_level2,primate_OPC_level2,mammal_Pvalb-BC_level2,primate_Pvalb-BC_level2,mammal_Pvalb-ChC_level2,primate_Pvalb-ChC_level2,mammal_Sncg_level2,primate_Sncg_level2,mammal_Sst_level2,primate_Sst_level2,mammal_Vip_level2,primate_Vip_level2,mammal_Vsc_level2,primate_Vsc_level2,mammal_level2,primate_level2,TSS_dist,gene_name,simple_annot,te_annot,mammal_level3
count,1361958,1361958,1361958.0,1361958.0,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958,1361958.0,1359003,1361958,1361958,1361958
unique,1361958,24,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,26483,56,5,2
top,human_orig_1,chr1,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,RBFOX1,intron,not_te,F
freq,1,113011,,,782932,842502,1307129,697606,857034,995974,1166523,989994,1317979,1261767,1361642,1355966,1314154,1237610,1335421,1291142,1361619,1360506,1342635,1292807,1345502,1317749,1340746,1295607,1359988,1340659,1353866,1331993,1321756,1263583,1359464,1352341,1291170,1167854,1339781,1308351,1337722,1285961,1361480,1356967,1360052,1354541,1341868,1292950,1350600,1315556,1336087,1301945,1217802,1018247,,1740,417172,878756,1338544
mean,,,78456027.25897862,78456290.7842349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19297.459478926663,,,,
std,,,55972370.66591287,55972365.41803446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206180.10162280154,,,,
min,,,10230.0,10468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3282092.0,,,,
25%,,,32943895.5,32944040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27158.0,,,,
50%,,,68806839.0,68807106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6453.0,,,,
75%,,,115209050.25,115209173.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55460.0,,,,
max,,,248944214.0,248944431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629991.0,,,,
