,gene_id,gene_name,feature,chromosome,start,stop,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,ensembl_id
count,35219,35219,35219,34643,35219.0,35219.0,35219.0,35219.0,35219.0,35219.0,35219.0,35219.0,35219,8423.0,35219.0,35219.0,35219.0,35219.0,35219
unique,35219,35219,1,407,,,,,,,,,2,,,,,,35219
top,PGBD2,PGBD2,Gene Expression,NC_041754.1,,,,,,,,,False,,,,,,PGBD2
freq,1,1,35219,3356,,,,,,,,,31219,,,,,,1
mean,,,,,70415529.93827195,70423094.69465345,88477.26741247623,0.41284987142831475,0.18502425724770885,89.45571963688846,346423.1528152418,8.98187954432296,,2404.110595703125,0.40558483358017944,9.56099503430536,0.9786663558989901,0.9086004713364945,
std,,,,,53802827.94738454,53803516.86128741,148511.97144180167,2.2373072128249625,0.4016760619864087,17.69891758591943,1877328.9568958513,3.8020321010433644,,1031.8719482421875,2.1960564419939135,262.77911231888567,0.7363635007549489,2.1071770040458087,
min,,,,,-1.0,-1.0,0.0,0.0,0.0,0.6570119008177833,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,
25%,,,,,23641520.5,23643033.0,694.5,0.0008586560394326316,0.0008582876050487955,87.07606465006637,720.5,6.581332138088888,,1650.25,0.0008326222784949492,0.0009040697880070517,0.8353059374205623,0.0,
50%,,,,,60408090.0,60408561.0,12439.0,0.016949071745747238,0.016807038866362863,98.51758189111693,14222.0,9.562615651570228,,2565.0,0.01652858440450304,0.02104810279911906,0.9155098832577118,0.0,
75%,,,,,107618515.5,107624063.5,108445.0,0.17924876832613912,0.16487759759839016,99.9172329466501,150408.0,11.921113480310758,,3261.0,0.17719887974457077,0.2785124899014384,1.0059697547697588,0.0,
max,,,,,223609305.0,223609306.0,833589.0,129.5083231835939,4.87143700391357,100.0,108670693.0,18.50383271132581,,3999.0,126.30057148165479,31284.452361867654,39.171071882000206,8.0,
