,gene_id,gene_name,feature,chromosome,start,stop,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,mt,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,ensembl_id
count,36601,36601,36601,36588,36601.0,36601.0,36601.0,36601.0,36601.0,36601.0,36601.0,36601.0,36601,36601,7448.0,36601.0,36601.0,36601.0,36601.0,36601
unique,36601,36601,1,39,,,,,,,,,2,2,,,,,,36601
top,ENSG00000243485,MIR1302-2HG,Gene Expression,chr1,,,,,,,,,False,False,,,,,,ENSG00000243485
freq,1,1,36601,3410,,,,,,,,,36588,32601,,,,,,1
mean,,,,,74016536.6748996,74028711.93306194,178832.79391273463,0.5088808267522359,0.21470238303781086,89.37482843240709,856499.8639108221,10.24052607184643,,,2423.795654296875,0.5442449373622625,25.492107990237535,1.0729940038660462,1.092866315128002,
std,,,,,56141458.259470694,56142288.76961022,280042.37855935475,3.2817591616686355,0.4419445014281694,16.638437801524844,5523545.253800289,3.419024513996736,,,1059.82958984375,3.6251327948139647,1469.4905084472032,0.9604778745176954,2.72519787918867,
min,,,,,-1.0,-1.0,0.0,0.0,0.0,1.5719756046117195,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,
25%,,,,,30200982.0,30200983.0,3119.0,0.001960067850787681,0.001958149424219626,85.60214603366991,3299.0,8.101677747454572,,,1643.0,0.0020048923939632577,0.0022045806448746626,0.8066483225597784,0.0,
50%,,,,,59456937.0,59469853.0,32127.0,0.02308412131150463,0.02282171360980772,98.09120643097134,38853.0,10.567566310598725,,,2628.0,0.024084388089341352,0.031999846642932,0.9162686093698087,0.0,
75%,,,,,109912882.0,109923553.0,242331.0,0.22668104485459908,0.20431218479289334,99.81468773487097,381528.0,12.851942142544992,,,3295.0,0.2398528477461129,0.4319576692415353,1.0174700286893106,0.0,
max,,,,,248906195.0,248906235.0,1656647.0,407.68340180796804,6.012940777580054,100.0,686173972.0,20.346641758494126,,,3999.0,462.57779134662576,265436.852588279,60.17983846003335,10.0,
