,chr,start,End,20-40,80-100,pval,adj_pval,Direction,celltype
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50,50
unique,14,,,,,,,2,4
top,chr18,,,,,,,B,Microglia
freq,11,,,,,,,28,17
mean,,68470000.0,68570000.0,0.023521399999999984,-0.08132020000000001,8.832547075863363e-06,0.01827459096871965,,
std,,53895803.66838614,53895803.66838614,0.880894964333317,1.316865326846667,1.472970290351253e-05,0.02617741925168481,,
min,,2000000.0,2100000.0,-2.48008,-1.78598,5.05079631127086e-23,9.32721558900333e-19,,
25%,,26825000.0,26925000.0,-0.4091075,-1.42942,1.0559197841335738e-08,0.00011453996794364999,,
50%,,53750000.0,53850000.0,-0.234585,-0.21042,1.188524768425995e-06,0.00308732892309105,,
75%,,99575000.0,99675000.0,0.3818125,0.91395,1.4483711796714601e-05,0.03654711049790535,,
max,,227900000.0,228000000.0,2.93084,3.14452,6.46062373886858e-05,0.0940324783357795,,
